account,date,sentiment,daily_pnl,winrate,volume_usd
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,Greed,0.0,0.0,900880.13
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,Greed,0.0,0.0,542413.1799999999
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,Greed,0.0,0.0,949380.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,Greed,-21227.0,0.0,338240.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,Greed,1603.1,0.4444444444444444,465700.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-27,Greed,-132271.0,0.0,1316799.98
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,Greed,0.0,0.0,1116918.77
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,Greed,-175611.00005600002,0.0,1212299.96
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,Greed,71393.964098,0.04946236559139785,5306093.62
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,Greed,40218.599998,0.5490196078431373,479429.99
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,Greed,176668.65146,0.5422885572139303,11231525.35
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,Fear,1053.0342039999998,0.06983655274888559,12112765.31
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,Greed,420021.176043,0.34182590233545646,7864701.47
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,Unknown,0.0,0.0,1643105.72
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,Unknown,85983.0887,0.783068783068783,2970268.93
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,Fear,0.0,0.0,807600.01
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,Unknown,75110.517778,0.2903225806451613,3751701.6
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,Fear,50487.0,1.0,750000.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-27,Fear,115287.0,0.01818181818181818,1372739.97
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,Fear,9482.221441,0.8,134360.89
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,Fear,533974.662903,0.8424336973478939,5365898.24
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,Unknown,40200.0,0.8,398200.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,Fear,307855.80341,1.0,666240.85
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-29,Greed,6928.750871,1.0,43698.25
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,Greed,4787.192359,0.7096774193548387,92149.05
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,Greed,0.0,0.0,0.06
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,Greed,3515.031065,0.423728813559322,100542.16
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,Greed,0.0,0.0,0.05
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,Greed,2517.787385,0.5779816513761468,106651.58
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,Greed,0.0,0.0,0.02
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,Greed,1613.165903,0.2542372881355932,112897.91
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,Greed,0.0,0.0,0.11
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,Greed,1245.51851,0.6176470588235294,341740.77999999997
